symbol,priceChange,priceChangePercent,weightedAvgPrice,prevClosePrice,lastPrice,lastQty,bidPrice,bidQty,askPrice,askQty,openPrice,highPrice,lowPrice,volume,quoteVolume,openTime,closeTime,firstId,lastId,count
ETHBTC,0.00035000,0.571,0.06147274,0.06125000,0.06160000,0.42000000,0.06159000,48.06640000,0.06160000,43.95630000,0.06125000,0.06197000,0.06103000,17669.11730000,1086.16899156,1694602224133,1694688624133,422981053,423009625,28573
LTCBTC,0.00004000,1.715,0.00236437,0.00233300,0.00237200,2.65700000,0.00237100,370.45600000,0.00237200,0.19800000,0.00233200,0.00239000,0.00232900,62472.53500000,147.70803791,1694602224539,1694688624539,93461700,93470852,9153
BNBBTC,-0.00004200,-0.519,0.00808578,0.00809900,0.00805700,1.50000000,0.00805600,8.78300000,0.00805700,18.05600000,0.00809900,0.00813700,0.00801900,23523.73400000,190.20764377,1694602202096,1694688602096,227028734,227054214,25481
NEOBTC,-0.00000050,-0.181,0.00027698,0.00027630,0.00027610,36.80000000,0.00027620,36.96000000,0.00027630,1.84000000,0.00027660,0.00027960,0.00027550,8788.59000000,2.43427791,1694602218069,1694688618069,45501802,45505889,4088
QTUMETH,0.00000700,0.536,0.00129986,0.00130700,0.00131200,66.80000000,0.00131000,47.10000000,0.00131400,112.40000000,0.00130500,0.00131300,0.00129200,716.80000000,0.93174150,1694602178632,1694688578632,5401686,5401713,28
EOSETH,-0.00000250,-0.720,0.00034524,0.00034610,0.00034480,14.10000000,0.00034380,542.90000000,0.00034460,752.20000000,0.00034730,0.00034860,0.00034150,11469.80000000,3.95987327,1694602107930,1694688507930,23497380,23497463,84
SNTETH,-0.00000003,-0.225,0.00001330,0.00001326,0.00001330,968.00000000,0.00001329,4645.00000000,0.00001337,505.00000000,0.00001333,0.00001341,0.00001324,142786.00000000,1.89917797,1694602214963,1694688614963,3906725,3906763,39
BNTETH,-0.00000170,-0.696,0.00024143,0.00024550,0.00024260,38.20000000,0.00024160,638.90000000,0.00024280,3344.40000000,0.00024430,0.00024430,0.00024030,16653.90000000,4.02074898,1694602219746,1694688619746,2233171,2233285,115
BCCBTC,0.00000000,0.000,0.00000000,0.07908100,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689572387911,1689658787911,-1,-1,0
GASBTC,0.00000000,0.000,0.00008919,0.00008840,0.00008840,46.70000000,0.00008830,13.50000000,0.00008840,4.40000000,0.00008840,0.00009070,0.00008760,34225.70000000,3.05256627,1694602194658,1694688594658,20790111,20792536,2426
BNBETH,-0.00120000,-0.908,0.13160644,0.13210000,0.13090000,1.74700000,0.13080000,10.10500000,0.13090000,111.63500000,0.13210000,0.13270000,0.13010000,7029.17400000,925.08458440,1694602153873,1694688553873,56270345,56275978,5634
BTCUSDT,194.99000000,0.747,26239.11612474,26105.00000000,26300.00000000,0.00086000,26299.99000000,12.83838000,26300.00000000,5.53192000,26105.01000000,26541.77000000,26016.22000000,32156.49803000,843758085.97414840,1694602224829,1694688624829,3211336632,3212051138,714507
